fare_id,route_id
LONGA,1001_0
LONGA,1002_0
LONGA,1003_0
LONGA,1005_0
LONGA,1006_0
LONGA,1006_1
LONGA,1007_1
LONGA,1007_C_0
LONGA,1010_0
LONGA,1011_0
LONGA,1011_C_1
LONGA,1013_0
LONGA,1014_0
LONGA,1101_0
LONGA,1101_1
LONGA,1102_0
LONGA,1103_0
LONGA,1105_0
LONGA,1105_1
LONGA,1106_0
LONGA,1106_1
LONGA,1107_0
LONGA,1110_C_0
LONGA,1111_0
LONGA,1112_0
LONGA,1115_0
LONGA,1115_1
LONGA,1115_2
LONGA,1115_3
LONGA,1115_4
LONGA,1117_0
LONGA,1117_1
LONGA,1117_2
LONGA,1117_3
LONGA,1119_0
LONGA,1119_1
LONGA,1121_0
LONGA,1122_0
LONGA,1123_0
LONGA,1123_1
LONGA,1125_0
LONGA,1202_1
LONGA,1202_C_0
LONGA,1206_0
LONGA,1206_1
LONGA,1208_0
LONGA,1209_0
LONGA,1209_1
LONGA,1211_0
LONGA,1212_0
LONGA,1213_0
LONGA,1215_C_0
LONGA,1217_0
LONGA,1218_0
LONGA,1219_0
LONGA,1220_C_0
LONGA,1223_0
LONGA,1223_1
LONGA,1223_2
LONGA,1224_0
LONGA,1225_C_0
LONGA,1227_0
LONGA,1228_C_0
LONGA,1231_0
LONGA,1232_C_0
LONGA,1233_C_0
LONGA,1234_0
LONGA,1235_0
LONGA,1236_0
LONGA,1240_0
LONGA,1241_0
LONGA,1242_0
LONGA,1243_0
LONGA,1244_0
LONGA,1245_0
LONGA,1246_0
LONGA,1247_0
LONGA,1248_0
LONGA,1249_0
LONGA,1250_0
LONGA,1251_0
LONGA,1251_1
LONGA,1251_2
LONGA,1253_C_0
LONGA,1254_0
LONGA,1255_0
LONGA,1502_0
LONGA,1503_0
LONGA,1503_1
LONGA,1504_0
LONGA,1504_1
LONGA,1506_C_0
LONGA,1507_0
LONGA,1508_0
LONGA,1509_0
LONGA,1512_0
LONGA,1512_1
LONGA,1514_0
LONGA,1515_0
LONGA,1515_1
LONGA,1516_0
LONGA,1517_0
LONGA,1518_0
LONGA,1518_1
LONGA,1519_0
LONGA,1520_0
LONGA,1521_0
LONGA,1522_0
LONGA,1523_0
LONGA,1525_0
LONGA,1525_1
LONGA,1525_2
LONGA,1525_3
LONGA,1525_4
LONGA,1526_0
LONGA,1527_0
LONGA,1527_1
LONGA,1528_0
LONGA,1529_0
LONGA,1529_1
LONGA,1530_0
LONGA,1530_1
LONGA,1531_0
LONGA,1601_0
LONGA,1601_1
LONGA,1601_2
LONGA,1601_3
LONGA,1601_4
LONGA,1602_0
LONGA,1602_1
LONGA,1603_0
LONGA,1604_0
LONGA,1604_2
LONGA,1604_3
LONGA,1604_C_1
LONGA,1605_0
LONGA,1606_0
LONGA,1608_0
LONGA,1608_1
LONGA,1609_0
LONGA,1610_0
LONGA,1610_1
LONGA,1611_0
LONGA,1612_0
LONGA,1613_0
LONGA,1613_1
LONGA,1614_0
LONGA,1614_1
LONGA,1614_2
LONGA,1615_0
LONGA,1615_1
LONGA,1615_2
LONGA,1616_0
LONGA,1616_1
LONGA,1616_2
LONGA,1616_3
LONGA,1617_0
LONGA,1617_1
LONGA,1622_0
LONGA,1623_0
LONGA,1623_1
LONGA,1624_0
LONGA,1624_1
LONGA,1625_0
LONGA,1625_1
LONGA,1626_0
LONGA,1627_0
LONGA,1628_0
LONGA,1629_0
LONGA,1630_0
LONGA,1630_1
LONGA,1630_2
LONGA,1630_3
LONGA,1630_4
LONGA,1631_0
LONGA,1632_0
LONGA,1632_1
LONGA,1632_2
LONGA,1633_0
LONGA,1633_1
LONGA,1634_0
LONGA,1635_0
LONGA,1635_1
LONGA,1636_0
LONGA,1636_1
LONGA,1637_0
LONGA,1638_0
LONGA,1638_1
LONGA,1638_2
LONGA,1638_3
LONGA,1703_0
LONGA,1704_0
LONGA,1704_1
LONGA,1704_3
LONGA,1706_0
LONGA,1706_1
LONGA,1706_2
LONGA,1707_0
LONGA,1707_1
LONGA,1708_2
LONGA,1708_C_0
LONGA,1708_C_1
LONGA,1709_0
LONGA,1710_0
LONGA,1710_1
LONGA,1710_2
LONGA,1710_3
LONGA,1711_0
LONGA,1712_0
LONGA,1713_0
LONGA,1713_1
LONGA,1714_0
LONGA,1715_0
LONGA,1715_1
LONGA,1716_0
LONGA,1716_1
LONGA,1717_0
LONGA,1717_1
LONGA,1717_2
LONGA,1718_0
LONGA,1719_0
LONGA,1720_0
LONGA,1720_1
LONGA,1721_0
LONGA,1721_1
LONGA,1722_0
LONGA,1723_0
LONGA,1723_1
LONGA,1724_0
LONGA,1724_1
LONGA,1724_3
LONGA,1724_C_2
LONGA,1725_0
LONGA,1726_0
LONGA,1726_1
LONGA,1728_0
LONGA,1728_1
LONGA,1729_0
LONGA,1729_1
LONGA,1730_0
LONGA,1730_1
LONGA,1730_2
LONGA,1730_3
LONGA,1731_0
LONGA,1733_0
LONGA,1733_1
LONGA,1733_2
LONGA,2002_0
LONGA,2003_0
LONGA,2003_1
LONGA,2007_0
LONGA,2011_0
LONGA,2011_1
LONGA,2011_2
LONGA,2011_3
LONGA,2013_0
LONGA,2014_0
LONGA,2015_0
LONGA,2017_0
LONGA,2021_0
LONGA,2021_1
LONGA,2021_2
LONGA,2021_3
LONGA,2022_0
LONGA,2023_0
LONGA,2023_1
LONGA,2025_0
LONGA,2025_1
LONGA,2027_0
LONGA,2027_1
LONGA,2028_0
LONGA,2032_0
LONGA,2035_0
LONGA,2037_0
LONGA,2037_1
LONGA,2037_2
LONGA,2101_0
LONGA,2102_0
LONGA,2103_0
LONGA,2103_1
LONGA,2104_0
LONGA,2105_0
LONGA,2106_0
LONGA,2106_1
LONGA,2107_0
LONGA,2107_1
LONGA,2108_0
LONGA,2109_0
LONGA,2110_0
LONGA,2110_1
LONGA,2110_2
LONGA,2111_0
LONGA,2112_0
LONGA,2113_0
LONGA,2113_1
LONGA,2114_0
LONGA,2115_0
LONGA,2116_0
LONGA,2117_0
LONGA,2117_1
LONGA,2117_2
LONGA,2118_0
LONGA,2118_1
LONGA,2118_2
LONGA,2118_3
LONGA,2118_4
LONGA,2118_5
LONGA,2119_0
LONGA,2119_1
LONGA,2120_0
LONGA,2121_0
LONGA,2122_0
LONGA,2123_0
LONGA,2123_1
LONGA,2123_2
LONGA,2127_0
LONGA,2128_0
LONGA,2129_0
LONGA,2130_0
LONGA,2130_1
LONGA,2131_0
LONGA,2131_1
LONGA,2132_0
LONGA,2132_1
LONGA,2133_0
LONGA,2133_1
LONGA,2133_2
LONGA,2133_3
LONGA,2133_4
LONGA,2134_0
LONGA,2135_0
LONGA,2136_0
LONGA,2137_0
LONGA,2137_1
LONGA,2138_0
LONGA,2139_0
LONGA,2140_0
LONGA,2141_0
LONGA,2143_0
LONGA,2144_0
LONGA,2144_1
