facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10001,school,A.P.P.A.C.D.M.,38.546024,-8.841776,,,,1,26526465,,,Quinta da Serralheira,2910-198 SETÚBAL,Alto da Guerra,,,1512,Setúbal,15,Setúbal,PT170,AML,"160865,160866,160867,160868"
10054,school,Colégio do Oriente,38.785510,-9.097388,1,,,,218933160,,,"Rua Principe do Mónaco (Alberto I), n.º 1 - Parque das Nações",1990-516 SACAVÉM,Sacavém,,,1106,Lisboa,11,Lisboa,PT170,AML,"060193,060195,060213"
10064,school,Colégio Pedro Arrupe,38.793045,-9.096261,1,,,,211572640,,,"Passeio dos Heróis do Mar, Parque das Nações",1990-514 SACAVÉM,Sacavém,,,1106,Lisboa,11,Lisboa,PT170,AML,"060189,060190,060191,060217"
10002,school,A.P.P.A.C.D.M. de Lisboa,38.738518,-9.147816,1,,,,217928720,,,"Av. 5 de Outubro,  n.º 104 - 5º andar",1050-070 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"061217,061218,061219,061220"
10003,school,Academia de Dança Contemporânea de Setúbal,38.521263,-8.846057,,,,1,265236463,,,Rua Professor Borges de Macedo - Manteigadas (Junto à Escola Profissional de Setúbal),2910-001 SETÚBAL,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,"160049,160050"
10004,school,Academia de Música de Almada,38.649572,-9.190900,,,1,,212945807,,,"Av. da Liberdade, n.º 20",2825-861 TRAFARIA,Trafaria,,,1503,Almada,15,Setúbal,PT170,AML,"020605,020606,020667,020668,020917,020919,020920,020921"
10005,school,Academia de Música de Santa Cecília,38.782356,-9.159266,1,,,,217594031,,,"Largo do Ministro, nº 9 - Ameixoeira",1750-200 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060173,060187"
10006,school,Academia de Música e Belas-Artes Luísa Todi,38.526016,-8.895506,,,,1,265522563,,,Rua Acácio Barradas,2900-197 SETÚBAL,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,"160099,160105,160135,160137,160157,160161,160199,160225,160273,160433,160434,160507,160508,160521,160522,160531"
10007,school,Academia Musical dos Amigos das Crianças,38.707362,-9.149883,1,,,,213978964,,,"Rua Dom Luís I, nº 19",1200-807 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060417,060418,060421,060452"
10008,school,AEMAR - Instituto de Tecnologias Náuticas,38.691685,-9.299273,1,,,,214697010,,,Complexo de Estudos Náuticos - Av. Eng. Bonneville Franco - Espargal,2770-058 PAÇO DE ARCOS,Paço de Arcos,,,1110,Oeiras,11,Lisboa,PT170,AML,"120881,120882,120883,120884"
10009,school,Associação de Pais e Amigos de Deficientes Profundos,38.776580,-9.291102,1,,,,214338440,,,AV. Fernão Mendes Pinto,2735-384 AGUALVA-CACÉM,Agualva,,,1111,Sintra,11,Lisboa,PT170,AML,"170787,170788"
10010,school,Associação Escola 31 de Janeiro,38.694454,-9.355649,1,,,,214587128,,,"Rua José Elias Garcia, nº 711",2775-218 PAREDE,Parede,,,1105,Cascais,11,Lisboa,PT170,AML,"050037,050038,050039,050040,050053,050471,050483,050484,050491"
10011,school,Associação para Formação Profissional e Desenvolvimento do Montijo - EPM,38.702213,-8.949492,,,,1,212313862,,,"R. José de Almeida Negreiros, 217",2870-442 MONTIJO,Afonsoeiro,,,1507,Montijo,15,Setúbal,PT170,AML,"100037,100038,100039,100040,100041,100042,100331,100332,100423,100425"
10012,school,Associação Portuguesa de Paralisia Cerebral,38.690943,-9.320851,1,,,,214462220,,,"Rua Melvin Jones, 34",,Oeiras,,,1110,Oeiras,11,Lisboa,PT170,AML,"120829,120830"
10013,school,CAISL - Carlucci American International School of Lisbon,38.769024,-9.380219,1,,,,219239800,,,"Rua António dos Reis, 95",2710-301 SINTRA,Linhó,,,1111,Sintra,11,Lisboa,PT170,AML,"172291,172292,172293,172294,172295,172296,172297,172298"
10014,school,CECD - Centro de Educação para o Cidadão Deficiente,38.786878,-9.304762,1,,,,219188560,,,"Av. 25 de Abril, 190",2735-418 AGUALVA-CACÉM,Mira Sintra,,,1111,Sintra,11,Lisboa,PT170,AML,"170479,170480,170481,170482,170483,170484,170487,170488"
10015,school,Centro de Educação e Desenvolvimento Jacob Rodrigues Pereira (Casa Pia),38.698260,-9.211018,1,,,,213041070,,,"R. D. Francisco de Almeida, 1",1400-117 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060109,060119"
10016,school,Centro de Educação e Desenvolvimento Pina Manique - Casa Pia de Lisboa,38.698822,-9.205846,1,,,,213651200,,,"R. do Jeronimos, N. 5",1400-210 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060097,060098"
10017,school,Centro de Formação Profissional da Amadora,38.752798,-9.219269,1,,,,,,,,,,,,1115,Amadora,11,Lisboa,PT170,AML,"030045,030283,030284,030285,030286,030303,030305,030307,030405,030406,030513,030583,030844,030860,030861,030882"
10018,school,Centro de Formação Profissional de Ranholas,38.782024,-9.368952,1,,,,,,,,,,,,1111,Sintra,11,Lisboa,PT170,AML,"171159,171160,171887,171889"
10019,school,Centro de Formação Profissional de Setúbal,38.532037,-8.881156,,,,1,,,,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,"160429,160430"
10020,school,Centro de Formação Profissional do Seixal,38.627643,-9.126173,,,1,,,,,,,,,,1510,Seixal,15,Setúbal,PT170,AML,"140158,140159,140160,140161,140162,140163,140164,140165,140166,140757,140758,140759,140760"
10021,school,Centro de Intervencão Tecnico-Pedagógico,38.803974,-9.225833,1,,,,219802809,,,R. Fernão Lopes n.º 8,2605-760 CASAL DE CAMBRA,Casal de Cambra,,,1111,Sintra,11,Lisboa,PT170,AML,"110737,110755,171557,171615,172129,172461,172467,172577,172591,172592,172593,172599"
10022,school,Centro de Paralisia Cerebral Calouste Gulbenkian,38.766411,-9.162056,1,,,,217512700,,,Av. Rainha D. Amélia,1600-676 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,060157
10023,school,Centro de Reabilitação Profissional de Alcoitão,38.731616,-9.400517,1,,,,,,,,,,,,1105,Cascais,11,Lisboa,PT170,AML,"050189,050190,050191,050192,050193,050194"
10024,school,Centro Educativo Padre António de Oliveira,38.704210,-9.270884,1,,,,214432007,,,Estrada Nacional 250 (Km 8),2760-059 CAXIAS,Caxias,,,1110,Oeiras,11,Lisboa,PT170,AML,"120683,120684"
10025,school,Centro Multicultural de Formação,38.742470,-9.202225,1,,,,217721020,,,"R. Vasco Botelho do Amaral, n.º 2",1500-000 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,030055
10026,school,Centro Paroquial do Estoril,38.714480,-9.395314,1,,,,,,,,,,,,1105,Cascais,11,Lisboa,PT170,AML,"050371,050372,050405"
10027,school,CERCIAMA Coop. Educ. Reab. Cri. Inadaptadas,38.757004,-9.241213,1,,,,214986930,,,"R. Mestre Roque Gameiro, nº 12",2700-578 AMADORA,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,"030313,030315,030322,030345,030346,030347,030348,030349,030653,030654"
10028,school,CERCICA Coop. Educ. Reab. C. Inadaptadas,38.704014,-9.393056,1,,,,214680275,,,"R. Dr. António Martins, 2",2765-194 ESTORIL,Estoril,,,1105,Cascais,11,Lisboa,PT170,AML,050361
10029,school,CERCIMA Coop. Educ. Reab. Cri. Inadaptadas,38.715546,-8.968373,,,,1,212308510,,,"R. D. Nuno Álvares Pereira, 141",2870-348 MONTIJO,Montijo,,,1507,Montijo,15,Setúbal,PT170,AML,"100071,100103"
10030,school,CERCIMB Coop. Educ. Reab. Cri. Inadaptadas,38.654377,-9.005420,,,,1,212890244,,,"Rua Ferreira de Castro, Bloco C - Qt. Fonte da Prata",2860-272 ALHOS VEDROS,Moita,,,1506,Moita,15,Setúbal,PT170,AML,"090009,090010"
10031,school,CERCIPÓVOA - Cooperativa para a Educação e Reabilitação de Cidadãos Inadaptados,38.864605,-9.063684,,1,,,219533080,,,"Rua do Morgado da Póvoa, lote 1, 2ª fase - Quinta da Piedade",2625-269 PÓVOA DE SANTA IRIA,Póvoa de Stª Iria,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,"180563,180564,180565,180566,180567,180568,180569,180570,180621,180623,180626,180671"
10032,school,CERCISA Coop. Educ. Reab. Cri. Inadaptadas,38.653553,-9.145289,,,1,,212535660,,,Rua Eça de Queirós,2855-236 CORROIOS,Miratejo,,,1510,Seixal,15,Setúbal,PT170,AML,"140709,140711,140713,140714,140727,140729,140753,020685,020687,020695,020696,020697,020699"
10033,school,"CERCITEJO - Cooperativa de Educação e Reabilitação de Cidadãos Inadaptados, CRL",38.904354,-9.044391,,1,,,219586243,,,"Rua da Esperança, 6",2615-305 ALVERCA DO RIBATEJO,Bom Sucesso,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,"180109,180111,180112,180113,180117,180119,180121,180123,180125,180137,180140,182201,182259,182269"
10034,school,CFPSA - Centro de Formação Profissional do Sector Alimentar,38.763764,-9.200254,,1,,,,,,,,,,,1116,Odivelas,11,Lisboa,PT170,AML,"110041,110043,110045,110695,110697,110859,060061,060062,060071,060077,060355,060357,060368"
10035,school,"CINEL - Centro de Formação Profissional da Indústria Electrónica, Energia, Telecomunicações e Tecnologias da Informação",38.751180,-9.220112,1,,,,,,,,,,,,1115,Amadora,11,Lisboa,PT170,AML,"030045,030111,030283,030284,030285,030286,030287,030288,030305,030307,030405,030406,030407,030408,030583,030844,030861,030882,035500"
10036,school,"Colégio ""Amor de Deus""",38.713850,-9.418705,1,,,,214812220,,,"Av. de Sintra, 1451",2756-502 ALCABIDECHE,Cascais,,,1105,Cascais,11,Lisboa,PT170,AML,"050325,050326,050327,050347"
10037,school,"Colégio ""D. Afonso V""",38.796610,-9.335948,1,,,,219211030,,,"R. Dr. João de Barros, 103",2725-490 MEM MARTINS,Mem Martins,,,1111,Sintra,11,Lisboa,PT170,AML,"170093,171105,171106,171179,171180,171181,171182"
10038,school,"Colégio ""Dona Filipa""",38.747963,-9.228777,1,,,,214968150,,,"Av. Hospitais Civis de Lisboa, 24",2720-000 AMADORA,Reboleira Sul,,,1115,Amadora,11,Lisboa,PT170,AML,"030081,030083,030084,030113,030445,030447,030448,030449,030450,030451,030453,030454,030485,030487,030489,030491,030492,030493,030655,030656,030657,030658"
10039,school,"Colégio ""Quinta do Lago""",38.702267,-9.337515,1,,,,214522509,,,"R. D. Luís de Ataíde, nº 198",2785-589 SÃO DOMINGOS DE RANA,S. Domingos de Rana,,,1105,Cascais,11,Lisboa,PT170,AML,"050023,050024,050025,050026,050141,050163"
10040,school,"Colégio ""Vasco da Gama""",38.794437,-9.312392,1,,,,219198300,,,"Av. Dr. João António Nabais, 71 - 73",2605-045 BELAS,Meleças,,,1111,Sintra,11,Lisboa,PT170,AML,"171191,171192,171193,171194,171195,171196,171199,171200"
10041,school,Colégio A Palmeira,38.619640,-8.901077,,,,1,936626536,,,Bairro do Pinheiro Grande - Rua 5 de outubro,2955-042 PINHAL NOVO,Pinhal Novo,,,1508,Palmela,15,Setúbal,PT170,AML,130439
10042,school,Colégio A Quinta de Sintra,38.799877,-9.314918,1,,,,219171266,,,Rua de Entre Vinhas - Recoveiro,2725-506 MEM MARTINS,Algueirão,,,1111,Sintra,11,Lisboa,PT170,AML,"170371,170372,170373,170374"
10043,school,Colégio Atlântico,38.598454,-9.096288,,,1,,212247828,,,"Av. da Ponte, Lote 357-A",2840-167 SEIXAL,Pinhal de Frades,,,1510,Seixal,15,Setúbal,PT170,AML,"140429,140439"
10044,school,Colégio Bartolomeu Dias,38.850500,-9.079181,,1,,,219591222,,,"R. Bartolomeu Dias, Bairro Funchal",2690-435 SANTA IRIA DE AZÓIA,Santa Iria de Azóia,,,1107,Loures,11,Lisboa,PT170,AML,"071255,071256,071289,071290,071447,071448,072404,072405"
10045,school,Colégio Campo de Flores,38.647198,-9.201694,,,1,,212946100,,,Lazarim,2829-514 CAPARICA,Monte de Caparica,,,1503,Almada,15,Setúbal,PT170,AML,"020321,020322,020555,020583,020584,020651,020652,020655,020657,020707,029001,029002"
10046,school,Colégio da Bafureira,38.689138,-9.356035,1,,,,214571027,,,"R. Dr. Camilo Dionísio Álvares, nº 801",2775-177 PAREDE,Parede,,,1105,Cascais,11,Lisboa,PT170,AML,"050043,050047"
10047,school,Colégio da Torre,38.697617,-9.298509,1,,,,214408110,,,"Rua Carlos Vieira Ramos, nº 10",2770-217 PAÇO DE ARCOS,Paço de Arcos,,,1110,Oeiras,11,Lisboa,PT170,AML,"120689,120751,120752,120753,120754,120755,120756,120849,120850,120894,121243,121267,121268"
10048,school,Colégio das Descobertas,38.703540,-8.968232,,,,1,210100353,,,,2870-010 MONTIJO,Montijo,,,1507,Montijo,15,Setúbal,PT170,AML,"100009,100011,100031,100033,100077,100079,100097"
10049,school,Colégio de Alfragide,38.737035,-9.218003,1,,,,214715795,,,"R. Ribeiro de Vasconcelos, 18",2720-506 AMADORA,Alfragide,,,1115,Amadora,11,Lisboa,PT170,AML,"030001,030002,030063,030067,030068,030069,030070,030521,030522,030577,030578,030579,030580,030581,030587,030777,030790,030823,030824,030862"
10050,school,Colégio de Reeducação Pedagógica Vasco Marques Coelho,38.742380,-9.132723,1,,,,218487105,,,"Praça Francisco Sá Carneiro, nº 11 - 1º Dtº",1000-160 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"061206,061209,061212,061213"
10051,school,Colégio de São João de Brito,38.773415,-9.157631,1,,,,217519000,,,"Estr. da Torre, 28",1769-004 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060159,060241,060243,060345"
10052,school,Colégio de São José - Ramalhão,38.786236,-9.372988,1,,,,219107554,,,"Rua Elias Garcia nº 2, Quinta do Ramalhão",2710-703 SINTRA,São Pedro de Penaferrim,,,1111,Sintra,11,Lisboa,PT170,AML,"171157,171205,171891,171893,172303,172304"
10053,school,Colégio de Stª Doroteia,38.761044,-9.153719,1,,,,217570311,,,"Av. Marechal Craveiro Lopes, 1",1749-012 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060287,061200"
10055,school,"Colégio do Parque do Falcão, Lda.",38.625670,-9.096256,,,1,,212275035,,,"Rua Júlio Augusto Henriques, 7",2840-212 SEIXAL,Arrentela,,,1510,Seixal,15,Setúbal,PT170,AML,"140665,140667,140668,140673,140677"
10056,school,Colégio do Tejo,38.685267,-8.946743,,,,1,212800725,,,"Travessa de Malpique, 138",2870-507 SARILHOS GRANDES,Lançada,,,1507,Montijo,15,Setúbal,PT170,AML,"100177,100178,100199"
10057,school,Colégio do Vale,38.601135,-9.181980,,,1,,212979650,,,Av. Vale Bem,2820-391 CHARNECA DA CAPARICA,Marisol,,,1503,Almada,15,Setúbal,PT170,AML,"020181,020182,020233,020235,020237,020238,020247,020249,020251"
10058,school,Colégio dos Plátanos,38.789104,-9.321813,1,,,,219178200,,,"Av. dos Plátanos, 2 a 6",2635-265 RIO DE MOURO,Rinchoa,,,1111,Sintra,11,Lisboa,PT170,AML,"170509,170510,170511,170512,172572,172573,172576"
10059,school,Colégio Guadalupe,38.586243,-9.158986,,,1,,212971544,,,Parque Natural do Alvão nº 26,2855-000 CORROIOS,Verdizela,,,1510,Seixal,15,Setúbal,PT170,AML,"140169,140170"
