agency_id,route_id,fare_id
CM,1001_0,BORDO-2
CM,1002_0,BORDO-2
CM,1003_0,BORDO-2
CM,1004_0,BORDO-2
CM,1005_0,BORDO-2
CM,1006_0,BORDO-2
CM,1006_1,BORDO-2
CM,1007_0,BORDO-2
CM,1007_1,BORDO-2
CM,1008_0,BORDO-1
CM,1009_0,BORDO-1
CM,1010_0,BORDO-2
CM,1011_0,BORDO-2
CM,1011_1,BORDO-2
CM,1012_0,BORDO-1
CM,1013_0,BORDO-2
CM,1014_0,BORDO-2
CM,1015_0,BORDO-1
CM,1101_0,BORDO-2
CM,1101_1,BORDO-2
CM,1102_0,BORDO-2
CM,1103_0,BORDO-2
CM,1105_0,BORDO-2
CM,1105_1,BORDO-2
CM,1106_0,BORDO-2
CM,1106_1,BORDO-2
CM,1107_0,BORDO-2
CM,1109_0,BORDO-1
CM,1110_0,BORDO-2
CM,1111_0,BORDO-2
CM,1112_0,BORDO-2
CM,1115_0,BORDO-2
CM,1115_1,BORDO-2
CM,1115_2,BORDO-2
CM,1115_3,BORDO-2
CM,1115_4,BORDO-2
CM,1117_0,BORDO-2
CM,1117_1,BORDO-2
CM,1117_2,BORDO-2
CM,1117_3,BORDO-2
CM,1119_0,BORDO-2
CM,1119_1,BORDO-2
CM,1120_0,BORDO-1
CM,1121_0,BORDO-2
CM,1122_0,BORDO-2
CM,1123_1,BORDO-2
CM,1123_0,BORDO-2
CM,1124_0,BORDO-1
CM,1125_0,BORDO-2
CM,1201_0,BORDO-1
CM,1204_0,BORDO-1
CM,1204_1,BORDO-1
CM,1204_2,BORDO-1
CM,1205_0,BORDO-1
CM,1206_1,BORDO-2
CM,1206_0,BORDO-2
CM,1208_0,BORDO-2
CM,1209_0,BORDO-2
CM,1209_1,BORDO-2
CM,1210_0,BORDO-1
CM,1211_0,BORDO-2
CM,1212_0,BORDO-2
CM,1213_0,BORDO-2
CM,1215_0,BORDO-2
CM,1216_0,BORDO-1
CM,1217_0,BORDO-2
CM,1218_0,BORDO-2
CM,1219_0,BORDO-2
CM,1220_0,BORDO-2
CM,1221_0,BORDO-1
CM,1222_0,BORDO-1
CM,1223_0,BORDO-2
CM,1223_1,BORDO-2
CM,1223_2,BORDO-2
CM,1224_0,BORDO-2
CM,1225_0,BORDO-2
CM,1226_0,BORDO-1
CM,1227_0,BORDO-2
CM,1228_0,BORDO-2
CM,1229_0,BORDO-1
CM,1230_0,BORDO-1
CM,1231_0,BORDO-2
CM,1232_0,BORDO-2
CM,1233_0,BORDO-2
CM,1234_0,BORDO-2
CM,1235_0,BORDO-2
CM,1236_0,BORDO-2
CM,1240_0,BORDO-2
CM,1241_0,BORDO-2
CM,1242_0,BORDO-2
CM,1243_0,BORDO-2
CM,1244_0,BORDO-2
CM,1245_0,BORDO-2
CM,1246_0,BORDO-2
CM,1247_0,BORDO-2
CM,1248_0,BORDO-2
CM,1249_0,BORDO-2
CM,1250_0,BORDO-2
CM,1251_0,BORDO-2
CM,1251_1,BORDO-2
CM,1251_2,BORDO-2
CM,1251_3,BORDO-2
CM,1252_0,BORDO-1
CM,1252_1,BORDO-1
CM,1253_0,BORDO-2
CM,1254_0,BORDO-2
CM,1255_0,BORDO-2
CM,1501_0,BORDO-1
CM,1502_0,BORDO-2
CM,1503_0,BORDO-2
CM,1503_1,BORDO-2
CM,1504_0,BORDO-2
CM,1504_1,BORDO-2
CM,1506_0,BORDO-2
CM,1507_0,BORDO-2
CM,1508_0,BORDO-2
