route_id,fare_id,fare_color,fare_text_color
1001_0,LONGA,ED1944,FFFFFF
1002_0,LONGA,ED1944,FFFFFF
1003_0,LONGA,ED1944,FFFFFF
1004_0,LONGA,ED1944,FFFFFF
1005_0,LONGA,ED1944,FFFFFF
1006_0,LONGA,ED1944,FFFFFF
1006_1,LONGA,ED1944,FFFFFF
1007_0,LONGA,ED1944,FFFFFF
1007_1,LONGA,ED1944,FFFFFF
1008_0,PROXIMA,3D85C6,FFFFFF
1009_0,PROXIMA,3D85C6,FFFFFF
1010_0,LONGA,ED1944,FFFFFF
1011_0,LONGA,ED1944,FFFFFF
1011_1,LONGA,ED1944,FFFFFF
1012_0,PROXIMA,3D85C6,FFFFFF
1013_0,LONGA,ED1944,FFFFFF
1014_0,LONGA,ED1944,FFFFFF
1015_0,PROXIMA,3D85C6,FFFFFF
1101_0,LONGA,ED1944,FFFFFF
1101_1,LONGA,ED1944,FFFFFF
1102_0,LONGA,ED1944,FFFFFF
1103_0,LONGA,ED1944,FFFFFF
1105_0,LONGA,ED1944,FFFFFF
1105_1,LONGA,ED1944,FFFFFF
1106_0,LONGA,ED1944,FFFFFF
1106_1,LONGA,ED1944,FFFFFF
1107_0,LONGA,ED1944,FFFFFF
1109_0,PROXIMA,3D85C6,FFFFFF
1110_0,LONGA,ED1944,FFFFFF
1111_0,LONGA,ED1944,FFFFFF
1112_0,LONGA,ED1944,FFFFFF
1115_0,LONGA,ED1944,FFFFFF
1115_1,LONGA,ED1944,FFFFFF
1115_2,LONGA,ED1944,FFFFFF
1115_3,LONGA,ED1944,FFFFFF
1115_4,LONGA,ED1944,FFFFFF
1117_0,LONGA,ED1944,FFFFFF
1117_1,LONGA,ED1944,FFFFFF
1117_2,LONGA,ED1944,FFFFFF
1117_3,LONGA,ED1944,FFFFFF
1119_0,LONGA,ED1944,FFFFFF
1119_1,LONGA,ED1944,FFFFFF
1120_0,PROXIMA,3D85C6,FFFFFF
1121_0,LONGA,ED1944,FFFFFF
1122_0,LONGA,ED1944,FFFFFF
1123_0,LONGA,ED1944,FFFFFF
1123_1,LONGA,ED1944,FFFFFF
1124_0,PROXIMA,3D85C6,FFFFFF
1125_0,LONGA,ED1944,FFFFFF
1201_0,PROXIMA,3D85C6,FFFFFF
1202_0,LONGA,ED1944,FFFFFF
1202_1,LONGA,ED1944,FFFFFF
1204_0,PROXIMA,3D85C6,FFFFFF
1204_1,PROXIMA,3D85C6,FFFFFF
1204_2,PROXIMA,3D85C6,FFFFFF
1205_0,PROXIMA,3D85C6,FFFFFF
1206_0,LONGA,ED1944,FFFFFF
1206_1,LONGA,ED1944,FFFFFF
1208_0,LONGA,ED1944,FFFFFF
1209_0,LONGA,ED1944,FFFFFF
1209_1,LONGA,ED1944,FFFFFF
1210_0,PROXIMA,3D85C6,FFFFFF
1211_0,LONGA,ED1944,FFFFFF
1212_0,LONGA,ED1944,FFFFFF
1213_0,LONGA,ED1944,FFFFFF
1215_0,LONGA,ED1944,FFFFFF
1216_0,PROXIMA,3D85C6,FFFFFF
1217_0,LONGA,ED1944,FFFFFF
1218_0,LONGA,ED1944,FFFFFF
1219_0,LONGA,ED1944,FFFFFF
1220_0,LONGA,ED1944,FFFFFF
1221_0,PROXIMA,3D85C6,FFFFFF
1222_0,PROXIMA,3D85C6,FFFFFF
1223_0,LONGA,ED1944,FFFFFF
1223_1,LONGA,ED1944,FFFFFF
1223_2,LONGA,ED1944,FFFFFF
1224_0,LONGA,ED1944,FFFFFF
1225_0,LONGA,ED1944,FFFFFF
1226_0,PROXIMA,3D85C6,FFFFFF
1227_0,LONGA,ED1944,FFFFFF
1228_0,LONGA,ED1944,FFFFFF
1229_0,PROXIMA,3D85C6,FFFFFF
1230_0,PROXIMA,3D85C6,FFFFFF
1231_0,LONGA,ED1944,FFFFFF
1232_0,LONGA,ED1944,FFFFFF
